TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Crimes,2019,10,30,3,18,24XX FRANKLIN ST,Hastings-Sunrise,495908.6394,5458810.045
Other Crimes,2019,12,3,15,44,24XX FRANKLIN ST,Hastings-Sunrise,495908.6394,5458810.045
Other Crimes,2019,1,15,21,0,24XX FRANKLIN ST,Hastings-Sunrise,496010.1965,5458809.661
Other Crimes,2019,8,27,7,0,24XX NAPIER ST,Hastings-Sunrise,495995.1908,5458021.696
Other Crimes,2019,7,1,12,0,24XX PARKER ST,Hastings-Sunrise,495956.7382,5458122.383
Other Crimes,2019,9,26,22,0,24XX RUPERT ST,Hastings-Sunrise,497533.7843,5456644.366
Other Crimes,2019,7,7,6,0,24XX RUPERT ST,Hastings-Sunrise,497555.6948,5456660.763
Other Crimes,2019,11,20,8,23,24XX TRIUMPH ST,Hastings-Sunrise,495972.3152,5459013.537
Other Crimes,2019,11,23,14,0,24XX TRIUMPH ST,Hastings-Sunrise,495994.4555,5459013.474
Other Crimes,2019,11,7,21,0,24XX VENABLES ST,Hastings-Sunrise,495941.5022,5458214.142
Other Crimes,2019,9,19,0,0,24XX YALE ST,Hastings-Sunrise,495959.5173,5459773.117
Other Crimes,2019,10,29,22,0,25XX DUNDAS ST,Hastings-Sunrise,496163.6515,5459119.875
Other Crimes,2019,7,1,8,52,25XX DUNDAS ST,Hastings-Sunrise,496207.3803,5459120.049
Other Crimes,2019,7,17,18,20,25XX E 5TH AVE,Hastings-Sunrise,496114.3237,5456991.735
Other Crimes,2019,2,20,20,0,25XX E 5TH AVE,Hastings-Sunrise,496182.0428,5456991.419
Other Crimes,2019,8,28,6,57,25XX E GEORGIA ST,Hastings-Sunrise,496175.8397,5458398.298
Other Crimes,2019,1,14,9,34,25XX E PENDER ST,Hastings-Sunrise,496115.2949,5458614.39
Other Crimes,2019,9,24,1,55,25XX ETON ST,Hastings-Sunrise,496194.5905,5459439.4
Other Crimes,2019,11,5,19,0,25XX GRANT ST,Hastings-Sunrise,496137.6344,5457619.513
Other Crimes,2019,8,6,2,30,25XX KITCHENER ST,Hastings-Sunrise,496197.7429,5457732.183
Other Crimes,2019,2,26,1,30,25XX KITCHENER ST,Hastings-Sunrise,496198.8163,5457732.178
Other Crimes,2019,12,1,0,0,25XX MCGILL ST,Hastings-Sunrise,496067.9931,5459550.291
Other Crimes,2019,4,28,16,49,25XX NAPIER ST,Hastings-Sunrise,496065.0712,5458021.381
Other Crimes,2019,10,5,0,0,25XX OXFORD ST,Hastings-Sunrise,496040.2877,5459221.359
Other Crimes,2019,11,2,15,0,25XX OXFORD ST,Hastings-Sunrise,496047.4159,5459212.21
Other Crimes,2019,9,6,13,43,25XX OXFORD ST,Hastings-Sunrise,496124.1213,5459212.151
Other Crimes,2019,9,17,13,45,25XX OXFORD ST,Hastings-Sunrise,496135.064,5459221.287
Other Crimes,2019,6,18,19,0,25XX PARKER ST,Hastings-Sunrise,496047.1345,5458122.018
Other Crimes,2019,7,24,5,25,25XX TRINITY ST,Hastings-Sunrise,496062.9803,5459667.999
Other Crimes,2019,11,8,5,58,25XX TURNER ST,Hastings-Sunrise,496085.5466,5458479.816
Other Crimes,2019,12,6,12,0,25XX TURNER ST,Hastings-Sunrise,496097.6138,5458479.802
Other Crimes,2019,6,28,2,0,25XX WILLIAM ST,Hastings-Sunrise,496203.0134,5457937.328
Other Crimes,2019,9,23,1,0,25XX YALE ST,Hastings-Sunrise,496042.4028,5459773.018
Other Crimes,2019,6,21,21,18,26XX ADANAC ST,Hastings-Sunrise,496243.6046,5458307.682
Other Crimes,2019,11,10,13,0,26XX CAMBRIDGE ST,Hastings-Sunrise,496360.2333,5459336.576
Other Crimes,2019,5,24,14,41,26XX CHARLES ST,Hastings-Sunrise,496273.5324,5457840.833
Other Crimes,2019,6,6,11,0,26XX DUNDAS ST,Hastings-Sunrise,496322.2936,5459119.697
Other Crimes,2019,12,28,16,0,26XX DUNDAS ST,Hastings-Sunrise,496378.6852,5459119.474
Other Crimes,2019,2,12,9,0,26XX E 1ST AVE,Hastings-Sunrise,496261.0352,5457400.729
Other Crimes,2019,9,23,8,30,26XX E 4TH AVE,Hastings-Sunrise,496271.7296,5457097.917
